tahun,bulan,minggu_ke,indikator,komoditas_andil,nilai_andil,fluktuasi_komoditas,fluktuasi_nilai,last_updated
2023,1,1,-1.34,TELUR AYAM RAS|PISANG|DAGING AYAM RAS,-0.773|-0.333|-0.287,CABAI RAWIT,0.3840277777777778,2026-04-26 20:59:21
2023,1,2,0.934198522422093,CABAI RAWIT|MINYAK GORENG|CABAI MERAH,0.063|0.054|0.019,IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,0.0329914,2026-04-26 20:59:21
2023,2,2,1.3611676684488,BERAS|MINYAK GORENG|BAWANG MERAH,0.116|0.048|0.019,CABAI MERAH,0.0349386,2026-04-26 20:59:21
2023,2,3,1.82381056245866,BERAS|MINYAK GORENG|BAWANG MERAH,0.116|0.051|0.025,CABAI MERAH,0.0657667,2026-04-26 20:59:21
2023,2,4,2.17991784021937,BERAS|CABAI RAWIT|MINYAK GORENG,1.163|0.449|0.405,BAWANG MERAH,,2026-04-26 20:59:21
2023,3,1,-1.26809555392786,BERAS|BAWANG MERAH|MINYAK GORENG,-0.873|-0.39|-0.161,CABAI MERAH,,2026-04-26 20:59:21
2023,3,2,-1.48887861472467,BERAS|BAWANG MERAH|MINYAK GORENG,-1.241|-0.287|-0.221,CABAI RAWIT,,2026-04-26 20:59:21
2023,3,3,-1.06296916614032,BERAS|BAWANG MERAH|MINYAK GORENG,-1.26|-0.28|-0.229,BAWANG MERAH,,2026-04-26 20:59:21
2023,3,4,-0.831355912065689,BERAS|BAWANG MERAH|MINYAK GORENG,-1.266|-0.294|-0.255,TELUR AYAM RAS,,2026-04-26 20:59:21
2023,3,5,-0.85259700589836,BERAS|BAWANG MERAH|MINYAK GORENG,-1.34|-0.315|-0.283,CABAI RAWIT,0.1026984,2026-04-26 20:59:21
2023,4,1,-1.78564427448288,CABAI RAWIT|DAGING AYAM RAS|CABAI MERAH,-1.825|-0.223|-0.173,CABAI RAWIT,0.1117452,2026-04-26 20:59:21
2023,4,2,-1.78564427448288,CABAI RAWIT|DAGING AYAM RAS|CABAI MERAH,-1.825|-0.223|-0.173,CABAI RAWIT,0.0901961,2026-04-26 20:59:21
2023,4,4,-1.78564427448288,CABAI RAWIT|DAGING AYAM RAS|CABAI MERAH,-1.825|-0.223|-0.173,CABAI RAWIT,0.0606073,2026-04-26 20:59:21
2023,5,1,0.189215291470248,DAGING AYAM RAS|BERAS|MIE KERING INSTANT,1.767|0.627|0.0,STABIL,0.0,2026-04-26 20:59:21
2023,5,2,0.508089933435357,DAGING AYAM RAS|BERAS|MINYAK GORENG,1.606|0.974|0.243,BAWANG MERAH,0.0364878,2026-04-26 20:59:21
2023,5,3,0.718022766039255,DAGING AYAM RAS|BERAS|MINYAK GORENG,1.435|1.06|0.304,CABAI RAWIT,0.1115178,2026-04-26 20:59:21
2023,5,4,1.25793767575102,DAGING AYAM RAS|BERAS|MINYAK GORENG,1.527|1.114|0.342,CABAI RAWIT,0.1351534,2026-04-26 20:59:21
2023,5,5,1.53629596217708,DAGING AYAM RAS|BERAS|MINYAK GORENG,1.561|1.134|0.357,CABAI RAWIT,0.2129071,2026-04-26 20:59:21
2023,6,1,1.655,CABAI RAWIT|TELUR AYAM RAS|MINYAK GORENG,0.844|0.259|0.215,BAWANG PUTIH,0.0366568,2026-04-26 20:59:21
2023,6,2,1.649,CABAI RAWIT|DAGING AYAM RAS|TELUR AYAM RAS,0.844|0.411|0.278,BAWANG PUTIH,0.040984,2026-04-26 20:59:21
2023,6,3,1.644,CABAI RAWIT|DAGING AYAM RAS|TELUR AYAM RAS,0.817|0.457|0.272,BAWANG PUTIH,0.0395459,2026-04-26 20:59:21
2023,6,4,1.071,CABAI RAWIT|DAGING AYAM RAS|BAWANG PUTIH,0.404|0.223|0.191,CABAI RAWIT,0.1150448,2026-04-26 20:59:21
2023,7,1,-0.02,CABAI RAWIT|DAGING SAPI|MINYAK GORENG,-0.242|-0.183|-0.024,CABAI MERAH,0.0894427,2026-04-26 20:59:21
2023,7,2,0.115,DAGING AYAM RAS|CABAI MERAH|BERAS,0.203|0.109|0.036,CABAI MERAH,0.0760726,2026-04-26 20:59:21
2023,7,3,0.13,DAGING AYAM RAS|CABAI MERAH|BERAS,0.203|0.095|0.04,CABAI MERAH,0.0670399,2026-04-26 20:59:21
2023,7,4,0.093,DAGING AYAM RAS|CABAI MERAH|TELUR AYAM RAS,0.203|0.072|0.046,CABAI MERAH,0.0669665,2026-04-26 20:59:21
2023,8,1,-0.03,BAWANG MERAH|CABAI MERAH|DAGING AYAM RAS,-0.144|-0.114|-0.067,DAGING AYAM RAS,0.0244379,2026-04-26 20:59:21
2023,8,2,-0.737,DAGING AYAM RAS|BAWANG MERAH|CABAI MERAH,-0.545|-0.265|-0.064,BAWANG MERAH,0.0958266,2026-04-26 20:59:21
